StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,Label,TotBytes_,Dur_,TotBytes_Dur
2011/08/18 15:39:35.096399,969.978516,1,4802,40296,2,7923,7628,94,1,1,53,4279,1791,0,0,1,1.0
2011/08/18 15:39:35.096413,960.128662,1,4802,27645,2,7928,7628,88,1,1,38,2280,1140,0,0,1,1.0
2011/08/18 15:39:35.096418,960.126648,1,4802,41185,2,5547,7628,91,1,1,129,22731,7130,0,0,1,1.0
2011/08/18 15:39:37.558329,265.884674,1,4778,40272,2,5540,7628,93,1,1,17,1020,480,0,0,3,3.0
2011/08/18 15:39:37.558339,960.499756,1,4778,34466,2,7927,7628,88,1,1,62,3720,1860,0,0,1,1.0
2011/08/18 15:39:37.558343,960.4989009999999,1,4778,36099,2,5518,7628,91,1,1,66,4266,1980,0,0,1,1.0
2011/08/18 15:39:39.889437,0.00042300000000000004,2,4806,30483,1,2578,9437,4,1,1,2,400,74,0,0,0,0.0
2011/08/18 15:39:39.890374,0.00045599999999999997,2,4806,41898,1,2578,9437,4,1,1,2,400,74,0,0,0,0.0
2011/08/18 15:39:39.891635,0.018511,1,4806,38141,0,5733,12186,43,1,1,7,478,272,0,0,0,0.0
2011/08/18 15:39:42.169277,945.1654050000001,1,4806,27364,2,9413,9278,91,1,1,50,4045,2135,0,0,1,1.0
2011/08/18 15:39:44.639199,954.2782589999999,1,4778,34675,2,9378,7628,91,1,1,194,46057,23592,0,0,1,1.0
2011/08/18 15:39:45.049274,14.453608,1,4806,33073,2,5729,7628,13,1,1,9,692,264,0,0,0,0.0
2011/08/18 15:39:45.529239,196.5849,1,4806,34450,2,9361,12186,12,1,1,14,924,462,0,0,3,3.0
2011/08/18 15:39:48.664894,0.00031299999999999996,2,4764,36026,0,2800,6787,74,1,0,1,225,225,0,0,0,0.0
2011/08/18 15:39:49.889444,0.00034700000000000003,2,4806,37553,1,2578,9437,4,1,1,2,400,74,0,0,0,0.0
2011/08/18 15:39:49.890397,0.000272,2,4806,29765,1,2578,9437,4,1,1,2,400,74,0,0,0,0.0
2011/08/18 15:39:49.891362,0.018213,1,4806,22752,0,5730,12186,43,1,1,6,412,272,0,0,0,0.0
2011/08/18 15:39:51.482597,930.1220699999999,1,4806,19182,2,7927,7628,88,1,1,40,2400,1200,0,0,1,1.0
2011/08/18 15:39:51.482652,930.121033,1,4806,37982,2,5529,7628,91,1,1,82,15554,2356,0,0,1,1.0
2011/08/18 15:39:52.055985,949.240234,2,4949,27018,1,11271,1317,4,1,1,70,6300,3150,0,0,1,1.0
2011/08/18 15:39:56.441050,922.009827,2,4850,12688,1,11271,1317,4,1,1,30,2700,1350,0,0,1,1.0
2011/08/18 15:39:59.889440,0.000426,2,4806,31060,1,2578,9437,4,1,1,2,400,74,0,0,0,0.0
2011/08/18 15:39:59.890391,0.000292,2,4806,37686,1,2578,9437,4,1,1,2,400,74,0,0,0,0.0
2011/08/18 15:39:59.891416,0.018322,1,4806,26686,0,5726,12186,43,1,1,6,412,272,0,0,0,0.0
2011/08/18 15:40:00.533225,0.00028900000000000003,2,4806,35465,1,2578,9437,4,1,1,2,244,81,0,0,0,0.0
2011/08/18 15:40:00.534020,0.000333,2,4806,20716,1,2578,9437,4,1,1,2,280,81,0,0,0,0.0
2011/08/18 15:40:00.535389,0.276388,1,4806,40657,0,5115,12186,52,1,1,10,1219,549,0,0,0,0.0
2011/08/18 15:40:03.098648,900.01593,1,4802,26815,2,9413,9278,91,1,1,98,25824,7105,0,0,1,1.0
2011/08/18 15:40:08.729330,153.398743,1,4806,35842,2,5741,12186,12,1,1,12,792,396,0,0,3,3.0
2011/08/18 15:40:08.781373,841.928406,2,4839,30065,1,11271,1317,4,1,1,28,2520,1260,0,0,1,1.0
2011/08/18 15:40:09.889319,0.00042,2,4806,38921,1,2578,9437,4,1,1,2,400,74,0,0,0,0.0
2011/08/18 15:40:09.890108,0.000362,2,4806,38820,1,2578,9437,4,1,1,2,400,74,0,0,0,0.0
2011/08/18 15:40:09.890904,0.018061,1,4806,22754,0,5730,12186,43,1,1,7,478,272,0,0,0,0.0
2011/08/18 15:40:11.366020,0.000305,2,4806,34676,1,2578,9437,4,1,1,2,251,85,0,0,0,0.0
2011/08/18 15:40:11.366750,0.00018600000000000002,2,4806,22679,1,2578,9437,4,1,1,2,251,85,0,0,0,0.0
2011/08/18 15:40:11.367389,0.00040899999999999997,2,4806,25047,1,2578,9437,4,1,1,2,390,85,0,0,0,0.0
